model,product_line,category_id,discharge_air_volume,pressure,power,product_starting,voltage,cooling_system,dimension_l,dimension_w,dimension_h,weight,noise,discharge_pipe,lubrication_oil,download,brand,capacity,working_pressure,phrase
CM6 UD-5M,HANDSOME CM II,1,0.72,8.5,5.5,Star-Delta/ Direct,380/415,Air cooled,750,650,850,240,56,20,4,FilePdf,Kobelco,,,
CM6 U-5M,HANDSOME CM II,1,0.72,8.5,5.5,Star-Delta/ Direct,380/415,Air cooled,750,650,850,215,56,20,4,,,,,
CM8 U-5M,HANDSOME CM II,1,1,8.5,7.5,Star-Delta/ Direct,380/415,Air cooled,995,670,1080,335,58,20,5,,"CKD, Orion",,,
CM8 UD-5M,HANDSOME CM II,1,1,8.5,7.5,Star-Delta/ Direct,380/415,Air cooled,995,670,1080,370,58,20,5,,,,,
CM11 U-5M,HANDSOME CM II,1,1.55,8.5,11,Star-Delta/ Direct,380/415,Air cooled,995,670,1080,370,59,20,7.5,,,,,
CM11 UD-5M,HANDSOME CM II,1,1.55,8.5,11,Star-Delta/ Direct,380/415,Air cooled,995,670,1080,405,59,20,7.5,,,,,
XG2140A-110,KOBELION XG,1,21.4,7.5,110,Star- Delta,380/415,Air cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2140A-110G,KOBELION XG,1,20.2,8.5,110,Star- Delta,380/415,Air cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2140A-110GH,KOBELION XG,1,17.8,10,110,Star- Delta,380/415,Air cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2140W-110,KOBELION XG,1,21.4,7.5,110,Star- Delta,380/415,Water cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2140W-110G,KOBELION XG,1,20.2,8.5,110,Star- Delta,380/415,Water cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2140W-110GH,KOBELION XG,1,17.8,10,110,Star- Delta,380/415,Water cooled,2600,2000,2000,3700,69,DN80 Flange,100,,,,,
XG2540A-132,KOBELION XG,1,25.4,7.5,132,Star- Delta,380/415,Air cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG2540A-132G,KOBELION XG,1,24.1,8.5,132,Star- Delta,380/415,Air cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG2540A-132GH,KOBELION XG,1,21.4,10,132,Star- Delta,380/415,Air cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG2540W-132,KOBELION XG,1,25.4,7.5,132,Star- Delta,380/415,Water cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG2540W-132G,KOBELION XG,1,24.1,8.5,132,Star- Delta,380/415,Water cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG2540W-132GH,KOBELION XG,1,21.4,10,132,Star- Delta,380/415,Water cooled,2600,2000,2000,3800,70,DN80 Flange,120,,,,,
XG3030A-160,KOBELION XG,1,30.3,7.5,160,Star- Delta,380/415,Air cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
XG3030A-160G,KOBELION XG,1,28.8,8.5,160,Star- Delta,380/415,Air cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
XG3030A-160GH,KOBELION XG,1,25.8,10,160,Star- Delta,380/415,Air cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
XG3030W-160,KOBELION XG,1,30.3,7.5,160,Star- Delta,380/415,Water cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
XG3030W-160G,KOBELION XG,1,28.8,8.5,160,Star- Delta,380/415,Water cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
XG3030W-160GH,KOBELION XG,1,25.8,10,160,Star- Delta,380/415,Water cooled,2600,2000,2000,3900,71,DN80 Flange,120,,,,,
AG280A-15,KOBELION II AG,1,2.75,7~7.5,15,Star-Delta,380/415,Air cooled,1350,850,1350,620,65 (Front =61),25A (R1),11,,,,,
AG280A-15H,KOBELION II AG,1,247,8~8.5,15,Star-Delta,380/415,Air cooled,1350,850,1350,620,65 (Front =61),25A (R1),11,,,,,
AG280A-15GH,KOBELION II AG,1,2.05,10,15,Star-Delta,380/415,Air cooled,1350,850,1350,620,65 (Front =61),25A (R1),11,,,,,
AG390A-22,KOBELION II AG,1,3.91,7~7.5,22,Star-Delta,380/415,Air cooled,1350,850,1350,685,66,25A (R1),12,,,,,
AG390A-22H,KOBELION II AG,1,3.67,8~8.5,22,Star-Delta,380/415,Air cooled,1350,850,1350,685,66,25A (R1),12,,,,,
AG390A-22GH,KOBELION II AG,1,3.1,10,22,Star-Delta,380/415,Air cooled,1350,850,1350,685,66,25A (R1),12,,,,,
AG580A-30,KOBELION II AG,1,5.8,7~7.5,30,Star-Delta,380/415,Air cooled,1650,950,1500,915,66,40A (R1 1/2),18,,,,,
AG580A-30H,KOBELION II AG,1,5.3,8~8.5,30,Star-Delta,380/415,Air cooled,1650,950,1500,915,66,40A (R1 1/2),18,,,,,
AG580A-30GH,KOBELION II AG,1,4.5,10,30,Star-Delta,380/415,Air cooled,1650,950,1500,915,66,40A (R1 1/2),18,,,,,
AG720A-37,KOBELION II AG,1,7.2,7~7.5,37,Star-Delta,380/415,Air cooled,1650,950,1500,1020,66,40A (R1 1/2),20,,,,,
AG720A-37H,KOBELION II AG,1,6.9,8~8.5,37,Star-Delta,380/415,Air cooled,1650,950,1500,1020,66,40A (R1 1/2),20,,,,,
AG720A-37GH,KOBELION II AG,1,5.8,10,37,Star-Delta,380/415,Air cooled,1650,950,1500,1020,66,40A (R1 1/2),20,,,,,
AG1070A-55,KOBELION II AG,1,10.7,7~7.5,55,Star-Delta,380/415,Air cooled,2050,1200,1550,1660,68,50A (R2),40,,,,,
AG1070A-55H,KOBELION II AG,1,10.1,8~8.5,55,Star-Delta,380/415,Air cooled,2050,1200,1550,1660,68,50A (R2),40,,,,,
AG1070A-55GH,KOBELION II AG,1,8.7,10,55,Star-Delta,380/415,Air cooled,2050,1200,1550,1660,68,50A (R2),40,,,,,
AG1490A-75,KOBELION II AG,1,14.9,7~7.5,75,Star-Delta,380/415,Air cooled,2050,1200,1550,1890,69,50A (R2),46,,,,,
AG1490A-75H,KOBELION II AG,1,13.8,8~8.5,75,Star-Delta,380/415,Air cooled,2050,1200,1550,1890,69,50A (R2),46,,,,,
