model,product_line,category_id,air_processing_capacity,inlet_air_temperature,dew_point_temperature,ambient_temperature,operating_pressure,cooling_method,dimension_w,dimension_d,dimension_h,weight,pipe_connections,power_source,power_consumption,refrigerant,brand
CRX3HD,High inlet temp. Model,Refrigerated Dryer,0.3,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,240,540,463,23,R1/2,220/1Phase/50Hz,0.48,R407,ORION
CRX5HD,High inlet temp. Model,Refrigerated Dryer,0.7,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,574,550,30,R3/4,220/1Phase/50Hz,0.44,R407C,ORION
CRX10HD,High inlet temp. Model,Refrigerated Dryer,1.2,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,817,619,40,R1,220/1Phase/50Hz,0.46,R407C,ORION
CRX20HD,High inlet temp. Model,Refrigerated Dryer,3.1,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,817,619,46,R1,220/1Phase/50Hz,0.97,R407C,ORION
CRX30HD,High inlet temp. Model,Refrigerated Dryer,4.6,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,305,979,930,87,R1 1/2,220/1Phase/50Hz,1.62,R407C,ORION
CRX50HD,High inlet temp. Model,Refrigerated Dryer,7.6,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,305,979,999,92,R1 1/2,220/1Phase/50Hz,2.08,R407C,ORION
CRX75HD,High inlet temp. Model,Refrigerated Dryer,8.8,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,380,1007,1054,108,R2,220/1Phase/50Hz,2.11,R407C,ORION
CRX90HD,High inlet temp. Model,Refrigerated Dryer,10.7,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,470,1029,1054,145,R2,380/3Phase/50Hz,3,R407C,ORION
CRX100HD,High inlet temp. Model,Refrigerated Dryer,14.9,10 ~ 80,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,592,1023,1229,185,R2,380/3Phase/50Hz,4.4,R407C,ORION
CRX5D,Standard inlet temp. Modle,Refrigerated Dryer,0.54,10 ~ 50,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,240,540,463,23,R1/2,220/1Phase/50Hz,0.45,R407C,ORION
CRX10D,Standard inlet temp. Modle,Refrigerated Dryer,1,10 ~ 50,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,574,550,30,R3/4,220/1Phase/50Hz,0.43,R407C,ORION
CRX20D,Standard inlet temp. Modle,Refrigerated Dryer,2.6,10 ~ 50,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,817,619,40,R1,220/1Phase/50Hz,0.45,R407C,ORION
CRX30D,Standard inlet temp. Modle,Refrigerated Dryer,4,10 ~ 50,3 ~ 10,2 ~ 43,0.39 ~ 0.98,Air cooled,255,817,619,46,R1,220/1Phase/50Hz,0.9,R407C,ORION
